frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 2.06, 0.00, 0.00, 0.19, 0.00, 0.00, 0.70, 1.42, 0.12, 0.44, 0.00, 0.38, 0.10, 0.61, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.061,  0.98,  1, 0.00, 0.00, 2.13, 0.19, 0.00, 0.44, 0.00, 0.00, 0.77, 1.40, 0.13, 0.37, 0.02, 0.35, 0.03, 0.46, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.121,  0.98,  1, 0.00, 0.00, 2.16, 0.27, 0.00, 0.46, 0.00, 0.00, 0.81, 1.40, 0.18, 0.35, 0.02, 0.30, 0.00, 0.43, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.182,  0.98,  1, 0.00, 0.00, 2.18, 0.36, 0.00, 0.27, 0.00, 0.00, 0.79, 1.39, 0.15, 0.31, 0.00, 0.28, 0.00, 0.49, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.243,  0.98,  1, 0.00, 0.00, 2.26, 0.24, 0.00, 0.33, 0.00, 0.00, 0.77, 1.35, 0.14, 0.31, 0.00, 0.24, 0.05, 0.48, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.303,  0.98,  1, 0.00, 0.00, 2.33, 0.28, 0.00, 0.49, 0.00, 0.00, 0.77, 1.30, 0.07, 0.29, 0.00, 0.24, 0.06, 0.51, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.364,  0.98,  1, 0.00, 0.00, 2.38, 0.19, 0.00, 0.49, 0.00, 0.00, 0.82, 1.29, 0.05, 0.32, 0.00, 0.26, 0.09, 0.61, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.425,  0.98,  1, 0.00, 0.00, 2.32, 0.20, 0.00, 0.55, 0.00, 0.00, 0.82, 1.25, 0.03, 0.36, 0.00, 0.32, 0.03, 0.69, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.486,  0.98,  1, 0.00, 0.00, 2.30, 0.16, 0.00, 0.60, 0.00, 0.00, 0.79, 1.20, 0.03, 0.39, 0.00, 0.34, 0.02, 0.62, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.546,  0.98,  1, 0.00, 0.03, 2.25, 0.13, 0.00, 0.77, 0.00, 0.00, 0.80, 1.24, 0.03, 0.41, 0.00, 0.34, 0.00, 0.53, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
