frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.40, 0.03, 1.40, 0.00, 0.00, 0.00, 0.02, 1.66, 0.88, 1.20, 0.02, 1.36, 0.81, 0.00, 0.28, 0.37, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.034,  0.98,  1, 0.62, 0.01, 1.41, 0.02, 0.02, 0.00, 0.19, 1.64, 0.87, 1.24, 0.03, 1.23, 0.39, 0.00, 0.24, 0.47, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.67, 0.02, 1.47, 0.02, 0.02, 0.00, 0.32, 1.62, 0.85, 1.26, 0.12, 1.19, 0.13, 0.00, 0.23, 0.49, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.101,  0.98,  1, 0.54, 0.02, 1.43, 0.00, 0.01, 0.00, 0.27, 1.65, 0.86, 1.32, 0.15, 1.26, 0.17, 0.00, 0.21, 0.53, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.134,  0.98,  1, 0.43, 0.02, 1.36, 0.00, 0.00, 0.00, 0.28, 1.62, 0.87, 1.39, 0.12, 1.36, 0.11, 0.00, 0.25, 0.52, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.168,  0.98,  1, 0.42, 0.02, 1.23, 0.00, 0.00, 0.00, 0.22, 1.72, 0.93, 1.45, 0.08, 1.45, 0.17, 0.00, 0.17, 0.56, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.201,  0.98,  1, 0.48, 0.02, 1.27, 0.00, 0.00, 0.00, 0.21, 1.74, 0.94, 1.50, 0.11, 1.60, 0.19, 0.00, 0.16, 0.58, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.235,  0.98,  1, 0.47, 0.02, 1.35, 0.00, 0.00, 0.00, 0.12, 1.80, 0.94, 1.41, 0.11, 1.67, 0.22, 0.00, 0.18, 0.54, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.269,  0.98,  1, 0.45, 0.00, 1.39, 0.00, 0.00, 0.00, 0.04, 1.70, 0.95, 1.37, 0.09, 1.70, 0.17, 0.00, 0.31, 0.55, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.302,  0.98,  1, 0.33, 0.00, 1.37, 0.00, 0.00, 0.00, 0.00, 1.65, 0.96, 1.23, 0.03, 1.68, 0.18, 0.00, 0.31, 0.52, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
