frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.21, 0.00, 0.67, 0.00, 0.27, 0.68, 0.00, 0.00, 0.00, 0.00, 0.36, 0.48, 0.18, 0.38, 0.46, 1.15, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
2,  0,  0.101,  0.93,  1, 0.08, 0.00, 0.59, 0.00, 0.41, 0.27, 0.00, 0.00, 0.00, 0.00, 0.12, 0.16, 0.40, 0.56, 1.00, 0.73, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
3,  0,  0.202,  0.93,  1, 0.01, 0.00, 0.54, 0.00, 0.56, 0.04, 0.00, 0.00, 0.00, 0.05, 0.00, 0.00, 0.34, 0.70, 1.23, 0.57, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
4,  0,  0.302,  0.88,  1, 0.00, 0.00, 0.63, 0.00, 0.74, 0.28, 0.00, 0.00, 0.00, 0.07, 0.00, 0.00, 0.15, 0.54, 1.37, 0.34, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
5,  0,  0.403,  0.98,  1, 0.48, 0.10, 0.98, 0.00, 0.66, 0.30, 0.00, 0.00, 0.00, 0.07, 0.00, 0.00, 0.00, 0.61, 0.90, 0.46, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
6,  0,  0.504,  0.98,  1, 0.85, 0.19, 1.32, 0.00, 0.45, 0.44, 0.00, 0.00, 0.00, 0.02, 0.00, 0.11, 0.00, 0.52, 0.52, 0.27, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
7,  0,  0.605,  0.98,  1, 1.16, 0.19, 1.74, 0.02, 0.29, 0.44, 0.00, 0.00, 0.00, 0.03, 0.00, 0.25, 0.07, 0.44, 0.06, 0.17, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
8,  0,  0.705,  0.98,  1, 1.01, 0.16, 1.80, 0.02, 0.20, 0.54, 0.00, 0.00, 0.00, 0.05, 0.00, 0.31, 0.07, 0.31, 0.02, 0.04, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.806,  0.98,  1, 0.83, 0.07, 1.85, 0.02, 0.23, 0.50, 0.00, 0.00, 0.00, 0.06, 0.00, 0.21, 0.07, 0.18, 0.09, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.907,  0.98,  1, 0.67, 0.14, 1.73, 0.00, 0.12, 0.34, 0.00, 0.00, 0.00, 0.10, 0.00, 0.08, 0.00, 0.08, 0.09, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  1.008,  0.98,  1, 0.51, 0.10, 1.74, 0.07, 0.14, 0.36, 0.00, 0.03, 0.00, 0.26, 0.00, 0.02, 0.00, 0.04, 0.08, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  1.109,  0.98,  1, 0.48, 0.10, 1.69, 0.07, 0.11, 0.35, 0.00, 0.07, 0.00, 0.30, 0.00, 0.01, 0.00, 0.00, 0.09, 0.00, 0.01, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  1.209,  0.98,  1, 0.52, 0.03, 1.57, 0.07, 0.18, 0.26, 0.00, 0.09, 0.00, 0.26, 0.00, 0.15, 0.04, 0.05, 0.14, 0.00, 0.01, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  1.310,  0.98,  1, 0.64, 0.04, 1.46, 0.00, 0.24, 0.15, 0.00, 0.06, 0.00, 0.15, 0.00, 0.37, 0.06, 0.11, 0.14, 0.05, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15,  0,  1.411,  0.98,  1, 0.61, 0.04, 1.46, 0.00, 0.28, 0.23, 0.00, 0.02, 0.00, 0.13, 0.00, 0.54, 0.13, 0.18, 0.04, 0.08, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0,  1.512,  0.98,  1, 0.55, 0.04, 1.57, 0.00, 0.29, 0.26, 0.00, 0.00, 0.00, 0.10, 0.03, 0.50, 0.13, 0.14, 0.18, 0.17, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  1.612,  0.98,  1, 0.39, 0.00, 1.76, 0.00, 0.28, 0.48, 0.00, 0.00, 0.00, 0.03, 0.08, 0.47, 0.12, 0.20, 0.18, 0.12, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  1.713,  0.98,  1, 0.46, 0.00, 1.84, 0.00, 0.19, 0.31, 0.00, 0.00, 0.00, 0.00, 0.36, 0.33, 0.04, 0.13, 0.24, 0.09, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  1.814,  0.98,  1, 0.58, 0.00, 1.85, 0.00, 0.09, 0.25, 0.00, 0.00, 0.00, 0.00, 0.66, 0.31, 0.00, 0.12, 0.19, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  1.915,  0.98,  1, 0.58, 0.02, 1.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.85, 0.30, 0.07, 0.04, 0.19, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  2.015,  0.98,  1, 0.68, 0.02, 1.89, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 0.67, 0.46, 0.08, 0.04, 0.12, 0.04, 0.15, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  2.116,  0.98,  1, 0.57, 0.02, 1.97, 0.00, 0.12, 0.36, 0.00, 0.00, 0.00, 0.00, 0.34, 0.64, 0.08, 0.06, 0.00, 0.12, 0.47, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
23,  0,  2.217,  0.98,  1, 0.57, 0.00, 1.77, 0.00, 0.26, 0.68, 0.00, 0.01, 0.00, 0.00, 0.11, 0.80, 0.01, 0.02, 0.00, 0.30, 0.59, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
24,  0,  2.318,  0.98,  1, 0.43, 0.00, 1.62, 0.00, 0.37, 0.84, 0.00, 0.04, 0.00, 0.00, 0.00, 0.86, 0.00, 0.05, 0.08, 0.48, 0.53, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
25,  0,  2.419,  0.98,  1, 0.35, 0.00, 1.47, 0.00, 0.25, 0.69, 0.00, 0.06, 0.00, 0.00, 0.01, 0.86, 0.00, 0.05, 0.16, 0.55, 0.21, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
26,  0,  2.519,  0.98,  1, 0.21, 0.00, 1.48, 0.00, 0.11, 0.45, 0.00, 0.06, 0.00, 0.00, 0.16, 0.87, 0.00, 0.11, 0.16, 0.52, 0.09, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
27,  0,  2.620,  0.98,  1, 0.14, 0.00, 1.42, 0.00, 0.00, 0.45, 0.00, 0.02, 0.00, 0.00, 0.21, 0.94, 0.00, 0.17, 0.15, 0.52, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
