frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.42, 0.00, 1.69, 0.00, 0.00, 0.00, 0.28, 0.00, 0.00, 0.07, 0.20, 0.51, 0.00, 0.12, 0.74, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.101,  0.88,  1, 1.16, 0.65, 1.41, 0.00, 0.00, 0.00, 0.09, 0.00, 0.00, 0.02, 0.17, 1.03, 0.43, 0.51, 0.25, 0.03, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.202,  0.98,  1, 1.31, 0.74, 1.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.10, 1.11, 0.69, 0.72, 0.01, 0.03, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.302,  0.98,  1, 0.94, 0.12, 1.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.93, 0.88, 0.64, 0.09, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.403,  0.98,  1, 0.81, 0.09, 1.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.70, 0.80, 0.51, 0.15, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.504,  0.98,  1, 0.80, 0.15, 1.74, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.68, 0.70, 0.35, 0.29, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.605,  0.98,  1, 0.83, 0.24, 1.82, 0.00, 0.00, 0.00, 0.00, 0.03, 0.00, 0.15, 0.00, 0.48, 0.44, 0.24, 0.22, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.705,  0.98,  1, 0.97, 0.53, 2.07, 0.00, 0.00, 0.00, 0.00, 0.09, 0.00, 0.28, 0.02, 0.54, 0.21, 0.22, 0.17, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.806,  0.98,  1, 1.13, 0.65, 2.31, 0.14, 0.00, 0.00, 0.00, 0.09, 0.00, 0.27, 0.18, 0.58, 0.23, 0.17, 0.01, 0.00, 0.03, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.907,  0.98,  1, 1.52, 0.83, 2.28, 0.14, 0.00, 0.00, 0.00, 0.06, 0.00, 0.24, 0.47, 0.56, 0.63, 0.11, 0.07, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  1.008,  0.98,  1, 1.62, 0.70, 1.96, 0.14, 0.00, 0.05, 0.00, 0.00, 0.00, 0.11, 0.61, 0.57, 1.09, 0.05, 0.07, 0.00, 1.68, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
12,  0,  1.109,  0.98,  1, 1.72, 0.43, 1.51, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 0.08, 0.61, 0.38, 1.18, 0.00, 0.30, 0.00, 2.09, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
13,  0,  1.209,  0.98,  1, 1.12, 0.15, 1.30, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 0.10, 0.32, 0.40, 0.75, 0.00, 0.48, 0.00, 1.24, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
