frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.46, 0.00, 0.00, 0.00, 0.01, 0.19, 0.00, 0.00, 0.57, 2.98, 0.00, 0.39, 0.08, 0.00, 1.03, 1.93, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
2,  0,  0.101,  0.98,  1, 0.36, 0.00, 0.00, 0.03, 0.10, 0.36, 0.00, 0.02, 0.59, 2.87, 0.00, 0.37, 0.11, 0.00, 0.92, 1.81, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
3,  0,  0.202,  0.98,  1, 0.75, 0.05, 0.00, 0.38, 0.16, 0.53, 0.00, 0.02, 0.80, 2.73, 0.00, 0.35, 0.13, 0.00, 0.84, 1.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
4,  0,  0.302,  0.98,  1, 1.52, 0.18, 0.00, 0.64, 0.14, 0.35, 0.00, 0.00, 0.99, 2.53, 0.00, 0.22, 0.30, 0.00, 1.32, 1.56, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
5,  0,  0.403,  0.98,  1, 1.64, 0.18, 0.00, 0.61, 0.43, 0.71, 0.03, 0.41, 1.06, 2.16, 0.00, 0.10, 0.30, 0.00, 1.64, 2.25, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
6,  0,  0.504,  0.93,  1, 2.21, 0.14, 0.00, 0.54, 0.49, 0.71, 0.03, 0.41, 0.99, 1.81, 0.00, 0.00, 0.32, 0.00, 2.15, 3.07, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
7,  0,  0.605,  0.88,  1, 2.30, 0.04, 0.00, 0.41, 0.73, 1.37, 0.03, 0.46, 0.94, 1.60, 0.00, 0.00, 0.11, 0.00, 2.23, 4.11, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
8,  0,  0.706,  0.88,  1, 3.01, 0.06, 0.00, 0.41, 0.72, 1.24, 0.00, 0.05, 1.26, 1.56, 0.00, 0.00, 0.30, 0.00, 2.48, 4.05, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
9,  0,  0.806,  0.93,  1, 2.94, 0.06, 0.00, 0.30, 0.79, 1.47, 0.00, 0.05, 1.53, 1.57, 0.24, 0.00, 0.35, 0.00, 2.71, 4.12, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00
10,  0,  0.907,  0.93,  1, 3.53, 0.43, 0.00, 0.33, 0.57, 0.93, 0.00, 0.00, 1.79, 1.50, 0.35, 0.20, 0.33, 0.00, 2.77, 3.63, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00
11,  0,  1.008,  0.93,  1, 3.88, 0.85, 0.00, 0.40, 0.54, 1.07, 0.00, 0.00, 1.94, 1.58, 0.35, 0.20, 0.28, 0.00, 2.80, 3.55, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00
12,  0,  1.109,  0.93,  1, 3.92, 1.17, 0.00, 0.23, 0.62, 0.87, 0.00, 0.00, 2.17, 1.63, 0.12, 0.20, 0.51, 0.00, 2.57, 3.03, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00
13,  0,  1.210,  0.98,  1, 3.37, 0.86, 0.00, 0.07, 0.97, 1.07, 0.00, 0.00, 2.37, 1.70, 0.17, 0.00, 0.78, 0.00, 2.66, 2.60, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00
14,  0,  1.311,  0.98,  1, 3.01, 0.43, 0.00, 0.00, 1.20, 1.33, 0.00, 0.07, 2.47, 1.81, 0.37, 0.00, 0.78, 0.00, 2.74, 2.17, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00
15,  0,  1.411,  0.98,  1, 2.43, 0.14, 0.00, 0.00, 1.40, 1.86, 0.00, 0.14, 2.29, 2.00, 0.59, 0.00, 0.50, 0.00, 2.87, 2.06, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00
