frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.22, 0.00, 1.72, 0.00, 0.00, 0.00, 0.00, 0.22, 0.43, 1.82, 0.00, 0.20, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.101,  0.98,  1, 0.07, 0.14, 1.44, 0.00, 0.00, 0.00, 0.00, 0.10, 0.39, 1.70, 0.00, 0.07, 0.00, 0.00, 0.15, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00
3,  0,  0.202,  0.98,  1, 0.00, 0.14, 1.20, 0.00, 0.00, 0.00, 0.00, 0.10, 0.40, 1.56, 0.00, 0.00, 0.00, 0.00, 0.11, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.302,  0.98,  1, 0.00, 0.12, 1.23, 0.00, 0.00, 0.00, 0.00, 0.09, 0.34, 1.48, 0.00, 0.07, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.403,  0.98,  1, 0.00, 0.00, 1.21, 0.00, 0.00, 0.00, 0.00, 0.13, 0.25, 1.44, 0.00, 0.09, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.504,  0.98,  1, 0.00, 0.00, 1.25, 0.00, 0.00, 0.00, 0.00, 0.11, 0.13, 1.44, 0.00, 0.17, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.605,  0.98,  1, 0.00, 0.05, 1.19, 0.00, 0.00, 0.00, 0.00, 0.17, 0.17, 1.30, 0.00, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.706,  0.98,  1, 0.00, 0.16, 1.05, 0.00, 0.00, 0.00, 0.00, 0.17, 0.13, 1.15, 0.00, 0.14, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.806,  0.98,  1, 0.00, 0.16, 1.04, 0.00, 0.00, 0.00, 0.00, 0.19, 0.10, 1.05, 0.00, 0.08, 0.00, 0.00, 0.02, 0.13, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.907,  0.98,  1, 0.00, 0.12, 0.98, 0.00, 0.00, 0.04, 0.00, 0.46, 0.04, 1.06, 0.00, 0.07, 0.00, 0.00, 0.02, 0.17, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
11,  0,  1.008,  0.98,  1, 0.00, 0.01, 0.95, 0.00, 0.00, 0.04, 0.00, 0.79, 0.07, 1.25, 0.00, 0.14, 0.00, 0.00, 0.00, 0.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
12,  0,  1.109,  0.98,  1, 0.00, 0.01, 0.91, 0.00, 0.01, 0.19, 0.00, 0.98, 0.13, 1.37, 0.00, 0.17, 0.00, 0.00, 0.00, 0.15, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
13,  0,  1.210,  0.98,  1, 0.00, 0.05, 0.93, 0.00, 0.01, 0.15, 0.00, 0.86, 0.13, 1.60, 0.00, 0.15, 0.00, 0.00, 0.02, 0.20, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
14,  0,  1.311,  0.98,  1, 0.00, 0.04, 1.03, 0.00, 0.01, 0.15, 0.00, 0.62, 0.10, 1.63, 0.00, 0.14, 0.00, 0.00, 0.03, 0.28, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
15,  0,  1.411,  0.98,  1, 0.00, 0.04, 1.10, 0.00, 0.00, 0.00, 0.00, 0.47, 0.03, 1.62, 0.00, 0.09, 0.00, 0.00, 0.10, 0.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
16,  0,  1.512,  0.98,  1, 0.00, 0.00, 1.08, 0.00, 0.00, 0.00, 0.00, 0.25, 0.00, 1.55, 0.00, 0.06, 0.00, 0.00, 0.10, 0.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
17,  0,  1.613,  0.98,  1, 0.00, 0.00, 0.99, 0.00, 0.00, 0.00, 0.00, 0.14, 0.02, 1.45, 0.00, 0.00, 0.00, 0.00, 0.08, 0.30, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
18,  0,  1.714,  0.98,  1, 0.01, 0.00, 0.94, 0.00, 0.00, 0.00, 0.00, 0.07, 0.02, 1.51, 0.00, 0.09, 0.00, 0.00, 0.02, 0.41, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
19,  0,  1.815,  0.98,  1, 0.01, 0.00, 0.92, 0.00, 0.00, 0.00, 0.00, 0.11, 0.02, 1.51, 0.00, 0.17, 0.00, 0.00, 0.00, 0.38, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
20,  0,  1.915,  0.98,  1, 0.08, 0.03, 0.91, 0.00, 0.00, 0.00, 0.00, 0.29, 0.00, 1.54, 0.00, 0.19, 0.00, 0.00, 0.02, 0.39, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
21,  0,  2.016,  0.98,  1, 0.42, 0.05, 1.32, 0.04, 0.03, 0.37, 0.07, 0.78, 0.13, 1.70, 0.00, 0.16, 0.00, 0.00, 0.02, 0.39, 0.09, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
22,  0,  2.117,  0.98,  1, 0.92, 0.05, 1.93, 0.17, 0.05, 0.83, 0.11, 1.41, 0.32, 1.90, 0.02, 0.12, 0.00, 0.00, 0.02, 0.33, 0.09, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  2.218,  0.98,  1, 1.33, 0.02, 2.72, 0.41, 0.28, 1.61, 0.11, 1.98, 0.70, 2.25, 0.15, 0.20, 0.00, 0.07, 0.00, 0.18, 0.09, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0,  2.319,  0.88,  1, 1.41, 0.00, 2.88, 0.56, 0.40, 1.90, 0.05, 2.26, 0.89, 2.44, 0.22, 0.15, 0.00, 0.07, 0.00, 0.00, 0.11, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0,  2.419,  0.88,  1, 1.29, 0.00, 2.93, 0.74, 0.49, 2.05, 0.12, 2.34, 0.89, 2.46, 0.29, 0.10, 0.00, 0.07, 0.00, 0.00, 0.20, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26,  0,  2.520,  0.98,  1, 0.80, 0.00, 2.70, 0.62, 0.32, 1.86, 0.19, 2.25, 0.50, 2.12, 0.22, 0.08, 0.00, 0.00, 0.06, 0.16, 0.34, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
