frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.16, 0.00, 0.00, 0.09, 0.79, 0.83, 0.42, 1.96, 0.00, 0.60, 0.00, 0.00, 0.00, 0.52, 0.79, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.101,  0.98,  1, 0.00, 0.00, 0.34, 0.00, 0.00, 0.29, 0.51, 0.96, 0.43, 2.07, 0.00, 0.49, 0.00, 0.00, 0.00, 0.51, 0.69, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.202,  0.98,  1, 0.00, 0.00, 0.58, 0.00, 0.00, 0.26, 0.25, 0.96, 0.44, 2.09, 0.00, 0.55, 0.00, 0.00, 0.00, 0.50, 0.42, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
4,  0,  0.302,  0.98,  1, 0.00, 0.00, 0.60, 0.00, 0.00, 0.05, 0.10, 0.87, 0.54, 2.06, 0.00, 0.58, 0.04, 0.00, 0.00, 0.46, 0.22, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.403,  0.98,  1, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 0.03, 0.79, 0.49, 1.99, 0.00, 0.61, 0.13, 0.00, 0.00, 0.37, 0.10, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.504,  0.98,  1, 0.00, 0.00, 0.54, 0.00, 0.00, 0.00, 0.03, 0.75, 0.42, 1.90, 0.00, 0.55, 0.13, 0.00, 0.00, 0.40, 0.25, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.605,  0.98,  1, 0.00, 0.00, 0.51, 0.00, 0.00, 0.00, 0.00, 0.75, 0.33, 1.91, 0.00, 0.61, 0.09, 0.00, 0.00, 0.36, 0.24, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.705,  0.98,  1, 0.00, 0.00, 0.38, 0.00, 0.00, 0.00, 0.00, 0.65, 0.29, 1.80, 0.00, 0.67, 0.00, 0.00, 0.00, 0.44, 0.24, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.806,  0.98,  1, 0.00, 0.00, 0.28, 0.00, 0.00, 0.00, 0.00, 0.59, 0.24, 1.74, 0.00, 0.71, 0.00, 0.00, 0.01, 0.54, 0.13, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.907,  0.98,  1, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.48, 0.14, 1.54, 0.00, 0.70, 0.00, 0.00, 0.13, 0.72, 0.13, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
