frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.83, 1.17, 0.36, 0.00, 1.66, 0.00, 0.00, 0.00, 1.10, 0.00, 0.08, 0.12, 0.00, 0.00, 1.06, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
2,  0,  0.034,  0.98,  1, 0.00, 0.97, 1.10, 0.16, 0.00, 1.35, 0.00, 0.00, 0.00, 1.10, 0.00, 0.19, 0.04, 0.05, 0.09, 1.23, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.00, 1.05, 1.15, 0.04, 0.00, 1.18, 0.00, 0.01, 0.00, 1.10, 0.00, 0.19, 0.00, 0.09, 0.25, 1.36, 0.14, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
4,  0,  0.101,  0.98,  1, 0.00, 1.04, 1.17, 0.12, 0.00, 1.32, 0.00, 0.04, 0.00, 1.15, 0.00, 0.18, 0.00, 0.09, 0.32, 1.32, 0.14, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
5,  0,  0.134,  0.98,  1, 0.00, 1.03, 1.24, 0.13, 0.00, 1.43, 0.00, 0.04, 0.00, 1.14, 0.00, 0.18, 0.00, 0.12, 0.26, 1.33, 0.14, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
6,  0,  0.168,  0.98,  1, 0.01, 1.01, 1.19, 0.37, 0.00, 1.47, 0.00, 0.03, 0.00, 1.02, 0.00, 0.17, 0.00, 0.14, 0.14, 1.27, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
7,  0,  0.202,  0.98,  1, 0.01, 1.02, 1.17, 0.29, 0.00, 1.23, 0.00, 0.00, 0.00, 0.91, 0.00, 0.10, 0.00, 0.18, 0.16, 1.33, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
8,  0,  0.235,  0.98,  1, 0.08, 1.11, 1.16, 0.35, 0.00, 1.08, 0.00, 0.00, 0.00, 0.85, 0.00, 0.13, 0.00, 0.21, 0.30, 1.36, 0.04, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
9,  0,  0.269,  0.98,  1, 0.22, 1.22, 1.23, 0.28, 0.00, 0.89, 0.00, 0.00, 0.00, 0.98, 0.00, 0.12, 0.00, 0.24, 0.39, 1.30, 0.04, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
10,  0,  0.302,  0.98,  1, 0.33, 1.30, 1.25, 0.34, 0.00, 0.97, 0.00, 0.00, 0.00, 1.03, 0.00, 0.10, 0.00, 0.25, 0.42, 1.25, 0.04, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
11,  0,  0.336,  0.98,  1, 0.31, 1.29, 1.34, 0.35, 0.00, 0.93, 0.00, 0.00, 0.00, 1.13, 0.00, 0.02, 0.00, 0.27, 0.36, 1.18, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
12,  0,  0.369,  0.98,  1, 0.20, 1.23, 1.30, 0.40, 0.00, 1.07, 0.00, 0.00, 0.00, 1.13, 0.00, 0.07, 0.00, 0.27, 0.30, 1.20, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
13,  0,  0.403,  0.98,  1, 0.22, 1.34, 1.35, 0.55, 0.00, 1.06, 0.00, 0.01, 0.00, 1.06, 0.00, 0.11, 0.00, 0.32, 0.22, 1.10, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
14,  0,  0.437,  0.98,  1, 0.29, 1.48, 1.28, 0.71, 0.00, 1.11, 0.00, 0.05, 0.00, 0.99, 0.00, 0.17, 0.00, 0.29, 0.20, 1.07, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
15,  0,  0.470,  0.98,  1, 0.38, 1.53, 1.29, 0.69, 0.00, 1.08, 0.00, 0.10, 0.00, 1.00, 0.00, 0.15, 0.00, 0.27, 0.25, 1.16, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
16,  0,  0.504,  0.98,  1, 0.39, 1.42, 1.31, 0.56, 0.00, 1.06, 0.00, 0.09, 0.00, 1.03, 0.00, 0.14, 0.00, 0.27, 0.32, 1.30, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
17,  0,  0.537,  0.98,  1, 0.53, 1.42, 1.35, 0.54, 0.00, 0.90, 0.00, 0.06, 0.00, 1.00, 0.00, 0.07, 0.00, 0.29, 0.24, 1.34, 0.09, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
18,  0,  0.571,  0.98,  1, 0.51, 1.42, 1.39, 0.53, 0.00, 1.03, 0.00, 0.05, 0.00, 0.95, 0.00, 0.04, 0.00, 0.34, 0.15, 1.35, 0.09, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
