frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.32, 0.00, 0.21, 0.43, 0.00, 1.82, 0.00, 0.00, 0.00, 0.22, 0.20, 0.39, 0.39, 0.82, 0.00, 0.02, 0.20, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.034,  0.98,  1, 0.39, 0.00, 0.10, 0.21, 0.02, 1.72, 0.00, 0.00, 0.00, 0.21, 0.09, 0.27, 0.28, 0.56, 0.00, 0.01, 0.22, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.55, 0.00, 0.08, 0.17, 0.02, 1.74, 0.00, 0.00, 0.00, 0.14, 0.02, 0.21, 0.15, 0.33, 0.00, 0.00, 0.36, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.101,  0.98,  1, 0.63, 0.00, 0.05, 0.24, 0.02, 1.81, 0.00, 0.00, 0.00, 0.21, 0.00, 0.26, 0.03, 0.19, 0.00, 0.00, 0.38, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.134,  0.98,  1, 0.70, 0.00, 0.04, 0.22, 0.01, 1.78, 0.00, 0.00, 0.00, 0.26, 0.00, 0.28, 0.22, 0.23, 0.00, 0.00, 0.27, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.168,  0.98,  1, 0.65, 0.00, 0.01, 0.27, 0.01, 1.75, 0.00, 0.00, 0.00, 0.30, 0.00, 0.36, 0.36, 0.29, 0.00, 0.00, 0.18, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.202,  0.98,  1, 0.66, 0.03, 0.10, 0.25, 0.01, 1.70, 0.00, 0.00, 0.00, 0.27, 0.13, 0.43, 0.34, 0.34, 0.00, 0.00, 0.32, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.235,  0.98,  1, 0.71, 0.03, 0.20, 0.31, 0.00, 1.78, 0.00, 0.00, 0.00, 0.25, 0.16, 0.26, 0.15, 0.33, 0.00, 0.00, 0.49, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.269,  0.98,  1, 0.71, 0.03, 0.21, 0.25, 0.00, 1.70, 0.00, 0.00, 0.00, 0.28, 0.24, 0.11, 0.13, 0.34, 0.00, 0.00, 0.54, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.303,  0.98,  1, 0.77, 0.00, 0.13, 0.24, 0.00, 1.67, 0.00, 0.00, 0.00, 0.19, 0.11, 0.00, 0.12, 0.24, 0.00, 0.00, 0.49, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.336,  0.98,  1, 0.77, 0.04, 0.03, 0.16, 0.00, 1.47, 0.00, 0.00, 0.00, 0.09, 0.11, 0.02, 0.30, 0.17, 0.00, 0.00, 0.38, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.370,  0.98,  1, 0.83, 0.16, 0.01, 0.10, 0.00, 1.50, 0.00, 0.00, 0.00, 0.08, 0.03, 0.02, 0.21, 0.07, 0.00, 0.00, 0.54, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.403,  0.98,  1, 0.81, 0.22, 0.06, 0.04, 0.00, 1.48, 0.00, 0.00, 0.00, 0.17, 0.03, 0.12, 0.23, 0.06, 0.00, 0.00, 0.72, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
14,  0,  0.437,  0.98,  1, 0.82, 0.18, 0.06, 0.03, 0.00, 1.35, 0.00, 0.00, 0.00, 0.19, 0.00, 0.24, 0.16, 0.06, 0.00, 0.00, 0.90, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
15,  0,  0.471,  0.98,  1, 0.79, 0.22, 0.08, 0.00, 0.00, 1.23, 0.00, 0.00, 0.00, 0.18, 0.00, 0.28, 0.21, 0.08, 0.00, 0.00, 0.90, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
16,  0,  0.504,  0.98,  1, 0.87, 0.34, 0.11, 0.00, 0.00, 1.40, 0.00, 0.00, 0.00, 0.17, 0.00, 0.18, 0.35, 0.06, 0.00, 0.00, 0.88, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
17,  0,  0.538,  0.98,  1, 0.88, 0.40, 0.17, 0.00, 0.00, 1.62, 0.00, 0.00, 0.00, 0.19, 0.00, 0.15, 0.39, 0.05, 0.00, 0.00, 0.91, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
18,  0,  0.571,  0.98,  1, 0.93, 0.25, 0.17, 0.00, 0.00, 1.65, 0.00, 0.00, 0.00, 0.18, 0.00, 0.22, 0.47, 0.03, 0.00, 0.00, 0.90, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
19,  0,  0.605,  0.98,  1, 0.89, 0.19, 0.15, 0.00, 0.00, 1.36, 0.00, 0.00, 0.00, 0.24, 0.00, 0.27, 0.34, 0.02, 0.00, 0.00, 1.01, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
20,  0,  0.639,  0.98,  1, 0.88, 0.25, 0.09, 0.00, 0.00, 1.15, 0.00, 0.00, 0.00, 0.28, 0.00, 0.23, 0.26, 0.02, 0.00, 0.00, 1.31, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
21,  0,  0.672,  0.98,  1, 0.87, 0.33, 0.15, 0.09, 0.00, 1.09, 0.00, 0.00, 0.00, 0.26, 0.26, 0.27, 0.22, 0.05, 0.00, 0.00, 1.51, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
22,  0,  0.706,  0.98,  1, 0.82, 0.34, 0.15, 0.09, 0.00, 1.04, 0.00, 0.00, 0.00, 0.10, 0.53, 0.25, 0.29, 0.06, 0.00, 0.00, 1.46, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
23,  0,  0.740,  0.98,  1, 0.83, 0.25, 0.15, 0.11, 0.00, 1.01, 0.00, 0.00, 0.00, 0.09, 0.53, 0.21, 0.28, 0.05, 0.00, 0.03, 1.26, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
