frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.61, 0.00, 0.86, 0.00, 0.00, 0.20, 0.64, 0.00, 0.00, 0.55, 0.94, 0.70, 0.00, 0.00, 0.16, 0.00, 0.11, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.067,  0.98,  1, 0.55, 0.00, 0.86, 0.00, 0.00, 0.09, 0.66, 0.00, 0.00, 0.44, 1.06, 0.49, 0.00, 0.00, 0.10, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.135,  0.98,  1, 0.63, 0.08, 0.96, 0.00, 0.00, 0.04, 0.64, 0.00, 0.00, 0.46, 1.03, 0.50, 0.03, 0.01, 0.13, 0.02, 0.40, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.202,  0.98,  1, 0.63, 0.08, 1.02, 0.00, 0.00, 0.09, 0.57, 0.00, 0.00, 0.50, 0.92, 0.57, 0.03, 0.01, 0.13, 0.02, 0.41, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.270,  0.98,  1, 0.69, 0.20, 1.09, 0.00, 0.00, 0.09, 0.47, 0.00, 0.00, 0.53, 0.81, 0.65, 0.04, 0.01, 0.09, 0.02, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.337,  0.98,  1, 0.66, 0.23, 1.03, 0.00, 0.00, 0.08, 0.43, 0.00, 0.00, 0.42, 0.83, 0.56, 0.01, 0.00, 0.13, 0.02, 0.48, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.404,  0.98,  1, 0.75, 0.25, 1.00, 0.00, 0.00, 0.00, 0.34, 0.00, 0.00, 0.35, 0.87, 0.61, 0.07, 0.00, 0.12, 0.06, 0.68, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.472,  0.98,  1, 0.73, 0.13, 1.09, 0.00, 0.00, 0.18, 0.45, 0.00, 0.00, 0.34, 0.91, 0.66, 0.14, 0.00, 0.16, 0.16, 1.04, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.539,  0.98,  1, 0.82, 0.02, 1.20, 0.00, 0.00, 0.38, 0.54, 0.00, 0.00, 0.33, 1.00, 0.77, 0.31, 0.00, 0.04, 0.19, 1.37, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.606,  0.98,  1, 0.88, 0.02, 1.26, 0.00, 0.00, 0.59, 0.70, 0.00, 0.00, 0.44, 1.04, 0.73, 0.41, 0.00, 0.03, 0.22, 1.52, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
11,  0,  0.674,  0.98,  1, 0.99, 0.02, 1.09, 0.00, 0.00, 0.67, 0.67, 0.00, 0.00, 0.40, 1.04, 0.67, 0.46, 0.00, 0.08, 0.20, 1.53, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
12,  0,  0.741,  0.98,  1, 0.91, 0.02, 0.92, 0.00, 0.00, 0.65, 0.60, 0.00, 0.00, 0.44, 0.96, 0.63, 0.35, 0.00, 0.09, 0.16, 1.59, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
13,  0,  0.809,  0.98,  1, 0.90, 0.06, 0.82, 0.00, 0.00, 0.63, 0.51, 0.00, 0.00, 0.42, 0.90, 0.62, 0.19, 0.00, 0.09, 0.09, 1.53, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
14,  0,  0.876,  0.98,  1, 0.96, 0.07, 0.92, 0.00, 0.00, 0.58, 0.46, 0.00, 0.00, 0.42, 0.89, 0.67, 0.10, 0.00, 0.03, 0.00, 1.35, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
15,  0,  0.943,  0.98,  1, 1.03, 0.07, 0.99, 0.00, 0.00, 0.57, 0.40, 0.00, 0.00, 0.40, 0.84, 0.64, 0.15, 0.00, 0.02, 0.00, 1.15, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
16,  0,  1.011,  0.98,  1, 1.02, 0.23, 0.99, 0.00, 0.00, 0.58, 0.36, 0.00, 0.00, 0.39, 0.72, 0.60, 0.20, 0.00, 0.02, 0.00, 0.99, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
17,  0,  1.078,  0.98,  1, 0.91, 0.30, 0.90, 0.00, 0.00, 0.59, 0.31, 0.00, 0.00, 0.50, 0.60, 0.54, 0.21, 0.00, 0.00, 0.00, 1.01, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
18,  0,  1.145,  0.98,  1, 0.76, 0.30, 0.80, 0.00, 0.00, 0.56, 0.28, 0.00, 0.00, 0.50, 0.50, 0.51, 0.25, 0.00, 0.02, 0.00, 1.18, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
19,  0,  1.213,  0.98,  1, 0.64, 0.09, 0.79, 0.00, 0.00, 0.55, 0.24, 0.00, 0.00, 0.47, 0.56, 0.54, 0.25, 0.00, 0.02, 0.00, 1.31, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
