frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.03, 0.00, 0.00, 0.48, 0.00, 0.00, 0.02, 0.97, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.067,  0.98,  1, 0.00, 0.00, 0.02, 0.00, 0.00, 0.57, 0.00, 0.00, 0.18, 1.02, 0.00, 0.00, 0.00, 0.06, 0.00, 0.03, 1.74, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.135,  0.98,  1, 0.00, 0.00, 0.07, 0.00, 0.00, 0.68, 0.00, 0.00, 0.25, 1.01, 0.00, 0.00, 0.00, 0.08, 0.00, 0.03, 1.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
4,  0,  0.202,  0.98,  1, 0.00, 0.00, 0.08, 0.00, 0.00, 0.60, 0.00, 0.00, 0.29, 0.98, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 1.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.270,  0.98,  1, 0.00, 0.00, 0.13, 0.00, 0.00, 0.66, 0.00, 0.00, 0.23, 1.05, 0.00, 0.00, 0.00, 0.03, 0.00, 0.05, 1.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.337,  0.98,  1, 0.00, 0.00, 0.14, 0.00, 0.00, 0.63, 0.00, 0.00, 0.20, 1.21, 0.00, 0.00, 0.00, 0.02, 0.00, 0.16, 1.48, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.404,  0.98,  1, 0.09, 0.00, 0.13, 0.00, 0.00, 0.63, 0.00, 0.00, 0.12, 1.25, 0.00, 0.06, 0.00, 0.05, 0.00, 0.18, 1.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.472,  0.98,  1, 0.13, 0.00, 0.08, 0.00, 0.00, 0.51, 0.00, 0.00, 0.05, 1.11, 0.00, 0.14, 0.00, 0.05, 0.00, 0.18, 1.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.539,  0.98,  1, 0.13, 0.00, 0.00, 0.00, 0.00, 0.27, 0.00, 0.00, 0.01, 0.78, 0.00, 0.25, 0.00, 0.04, 0.00, 0.11, 1.65, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.606,  0.98,  1, 0.14, 0.00, 0.08, 0.00, 0.00, 0.29, 0.00, 0.00, 0.00, 0.63, 0.01, 0.29, 0.00, 0.00, 0.00, 0.11, 1.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
11,  0,  0.674,  0.98,  1, 0.18, 0.00, 0.13, 0.00, 0.00, 0.24, 0.00, 0.00, 0.00, 0.52, 0.01, 0.33, 0.00, 0.00, 0.00, 0.16, 1.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
12,  0,  0.741,  0.98,  1, 0.24, 0.00, 0.15, 0.00, 0.00, 0.27, 0.00, 0.00, 0.00, 0.49, 0.01, 0.34, 0.00, 0.00, 0.06, 0.17, 1.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
13,  0,  0.809,  0.98,  1, 0.24, 0.00, 0.14, 0.00, 0.00, 0.23, 0.00, 0.00, 0.00, 0.38, 0.00, 0.39, 0.00, 0.00, 0.10, 0.17, 1.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
14,  0,  0.876,  0.98,  1, 0.32, 0.00, 0.16, 0.00, 0.00, 0.22, 0.00, 0.00, 0.00, 0.31, 0.00, 0.32, 0.00, 0.00, 0.21, 0.11, 1.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
15,  0,  0.943,  0.98,  1, 0.44, 0.00, 0.14, 0.00, 0.00, 0.34, 0.00, 0.00, 0.00, 0.25, 0.00, 0.21, 0.00, 0.00, 0.30, 0.08, 1.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
16,  0,  1.011,  0.98,  1, 0.49, 0.00, 0.14, 0.00, 0.00, 0.27, 0.00, 0.00, 0.00, 0.31, 0.00, 0.21, 0.00, 0.00, 0.34, 0.11, 1.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
17,  0,  1.078,  0.98,  1, 0.56, 0.00, 0.19, 0.00, 0.00, 0.33, 0.00, 0.00, 0.00, 0.30, 0.00, 0.22, 0.00, 0.00, 0.28, 0.11, 1.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
18,  0,  1.145,  0.98,  1, 0.48, 0.00, 0.24, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 0.35, 0.00, 0.33, 0.00, 0.00, 0.26, 0.16, 1.65, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
19,  0,  1.213,  0.98,  1, 0.50, 0.00, 0.27, 0.00, 0.00, 0.18, 0.00, 0.00, 0.00, 0.25, 0.00, 0.37, 0.00, 0.00, 0.29, 0.16, 1.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
20,  0,  1.280,  0.98,  1, 0.49, 0.00, 0.20, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.29, 0.00, 0.42, 0.00, 0.00, 0.32, 0.21, 1.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
21,  0,  1.348,  0.98,  1, 0.47, 0.00, 0.23, 0.00, 0.00, 0.21, 0.00, 0.00, 0.00, 0.26, 0.00, 0.38, 0.00, 0.00, 0.29, 0.29, 1.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
22,  0,  1.415,  0.98,  1, 0.42, 0.00, 0.17, 0.00, 0.00, 0.19, 0.00, 0.00, 0.00, 0.37, 0.00, 0.28, 0.00, 0.00, 0.25, 0.37, 1.53, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
23,  0,  1.482,  0.98,  1, 0.33, 0.00, 0.19, 0.00, 0.00, 0.24, 0.00, 0.00, 0.00, 0.42, 0.00, 0.22, 0.00, 0.00, 0.26, 0.39, 1.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
24,  0,  1.550,  0.98,  1, 0.36, 0.00, 0.22, 0.00, 0.00, 0.13, 0.00, 0.00, 0.00, 0.43, 0.00, 0.16, 0.00, 0.00, 0.35, 0.39, 1.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
25,  0,  1.617,  0.98,  1, 0.41, 0.00, 0.31, 0.00, 0.00, 0.13, 0.00, 0.00, 0.00, 0.32, 0.00, 0.16, 0.00, 0.00, 0.40, 0.41, 1.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
26,  0,  1.685,  0.98,  1, 0.34, 0.00, 0.34, 0.00, 0.00, 0.03, 0.00, 0.00, 0.00, 0.23, 0.00, 0.20, 0.00, 0.00, 0.44, 0.39, 1.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
27,  0,  1.752,  0.98,  1, 0.34, 0.00, 0.27, 0.00, 0.00, 0.08, 0.00, 0.00, 0.00, 0.18, 0.00, 0.24, 0.00, 0.00, 0.40, 0.33, 1.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
28,  0,  1.819,  0.98,  1, 0.18, 0.00, 0.22, 0.00, 0.00, 0.08, 0.00, 0.00, 0.00, 0.22, 0.00, 0.28, 0.00, 0.00, 0.38, 0.27, 1.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
29,  0,  1.887,  0.98,  1, 0.18, 0.00, 0.27, 0.00, 0.00, 0.09, 0.00, 0.00, 0.00, 0.25, 0.00, 0.30, 0.00, 0.00, 0.36, 0.25, 1.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
